ID	Gender	Age	Race	What is the person doing	Group	Number of people in the group	Where was the person sleeping/ observed?	Street Name	Area	X               GPS Co ordinate	Y                  GPS Co ordinate
Y6125	Male	26-35	Coloured	Strolling	No	1	Parking Lot	Baronrath Road	Claremont	18,47433917	-33,99156616
Y6124	Male	46-55	Black African	Strolling	No	1	Parking Lot	Baronrath Road	Claremont	18,47436783	-33,9915627
Y6118	Female	36-45	Coloured	Strolling	No	1	Parking Lot	Peffers Street	Claremont	18,47869532	-33,98923878
Y6119	Male	36-45	Black African	Strolling	No	1	Parking Lot	Peffers Street	Claremont	18,47875116	-33,98923782
B315	Male	26-35	Coloured	Sitting	Yes	3	Parking Lot	Palmyra Road	Claremont	18,46797922	-33,98152474
B316	Male	26-35	Coloured	Skarelling	Yes	5	Pavement	Palmyra Road	Claremont	18,46797922	-33,98152474
B317	Male	26-35	Coloured	Skarelling	Yes	5	Pavement	Palmyra Road	Claremont	18,46797922	-33,98152474
B362	Male	26-35	Black African	Sleeping	Yes	3	Parking Lot	Palmyra Road	Claremont	18,46797922	-33,98152474
B363	Female	26-35	Black African	Sleeping	Yes	3	Parking Lot	Palmyra Road	Claremont	18,46797922	-33,98152474
B313	Male	26-35	Coloured	Strolling	Yes	5	Pavement	Palmyra Road	Claremont	18,46797922	-33,98152474
B314	Male	26-35	Coloured	Strolling	Yes	5	Pavement	Palmyra Road	Claremont	18,46797922	-33,98152474
B3612	Male	36-45	Coloured	Strolling	Yes	5	Pavement	Palmyra Road	Claremont	18,46797922	-33,98152474
Y623	Female	18-25	Coloured	Sitting	Yes	2	Pavement	Surrey Street	Claremont	18,47043096	-33,98683478
Y622	Male	36-45	White	Sleeping	No	1	Pavement	Surrey Street	Claremont	18,47043319	-33,98682167
Y624	Male	36-45	Coloured	Sitting	Yes	2	Pavement	Surrey Street	Claremont	18,47044117	-33,98680441
Y625	Male	36-45	Coloured	Sitting	Yes	3	Pavement	Cnr Of Lincoln Street And 2Nd Avenue	Claremont	18,472524	-33,98535529
Y626	Female	36-45	Coloured	Sitting	Yes	3	Pavement	Cnr Of Lincoln Street And 2Nd Avenue	Claremont	18,472524	-33,98535529
Y627	Female	36-45	Coloured	Sitting	Yes	3	Pavement	Cnr Of Lincoln Street And 2Nd Avenue	Claremont	18,47255831	-33,98536737
Y621	Male	36-45	Coloured	Sleeping	No	1	Pavement	Imam Haron Road	Claremont	18,47422363	-33,98405543
Y6111	Male	26-35	Black African	Sitting	No	1	Parking Lot	Grassfield Road	Claremont	18,47750697	-33,98549243
Y6112	Male	26-35	Black African	Strolling	Yes	2	Parking Lot	Grassfield Road	Claremont	18,47758715	-33,98549278
Y6113	Female	26-35	Black African	Strolling	Yes	2	Parking Lot	Grassfield Road	Claremont	18,47761577	-33,98549528
Y617	Male	36-45	Coloured	Strolling	No	1	Parking Lot	Rosmead Avenue	Claremont	18,47890092	-33,98604934
Y614	Male	36-45	Black African	Strolling	No	1	Parking Lot	College Street	Claremont	18,47908624	-33,98946584
Y618	Male	26-35	Black African	Strolling	Yes	3	Parking Lot	Rosmead Avenue	Claremont	18,47916842	-33,98678991
Y619	Male	26-35	Black African	Strolling	Yes	3	Parking Lot	Rosmead Avenue	Claremont	18,47917533	-33,98683168
Y6110	Male	46-55	Black African	Strolling	Yes	3	Parking Lot	Rosmead Avenue	Claremont	18,47917668	-33,98684481
Y615	Male	26-35	Black African	Strolling	Yes	2	Parking Lot	Esher Street	Claremont	18,47991817	-33,98592723
Y616	Male	26-35	Black African	Strolling	Yes	2	Parking Lot	Esher Street	Claremont	18,47994967	-33,98592736
Y6114	Male	26-35	Black African	Sitting	Yes	2	Park	Hampstead Road	Claremont	18,48216807	-33,98793916
Y6115	Male	36-45	Black African	Sitting	Yes	2	Park	Hampstead Road	Claremont	18,482261	-33,98796102
